actual_fra,actual_eng,predicted_eng
tom nest pas amical,tom isnt friendly,tom isnt green     
je ne suis pas amère,im not bitter,im not a     
elle sen retourna au japon,she returned to japan,she put it to    
descends de là ,get down from there,come on there     
tout le monde continua à parler,everyone kept talking,everyone kept on     
voyezvous un inconvénient à ce que je masseye ,do you mind if i sit,do you mind i  am  
qui a téléphoné ,who phoned,who phoned      
il avait lhabitude de boire,he used to drink,he had to     
jai beaucoup fait ça,i did that a lot,i have that of    
cassezvous,back off,get away      
écris quelque chose,write something,help something      
arrêtez de me corriger ,stop correcting me,stop correcting me     
cest pour vous,its for you,this is for you    
jai reçu de laide,i had help,i got some help    
il manque une vis,a screws missing,i left half early    
jen sais beaucoup à ce sujet,i know a lot about it,i know it of it   
cest sa demeure,thats his house,thats is a     
elle la frappé,she hit him,she works him     
astu eu gain de cause ,did you win the case,did you win the case   
je suis déjà prête,im already ready,im already ready     
nous parlerons bientôt tom,well talk soon tom,we be tom soon    
jen ai trop vu,ive seen too much,ive seen too much    
il est à la maison aujourdhui,he is at home today,hes at      
nous sommes du même tonneau,we are two of a kind,were free same     
nous sommes trop en retard,were too late,were too late     
je suis le voisin de tom,im toms neighbor,im toms  tom    
estce une louve ,is it a wolf,is this a riddle    
elle le fit facilement,she did it easily,she did him     
je coopérerai,ill play along,ill cooperate      
je suis détendue,im relaxed,im cool      
je suis désarmé,im powerless,im unarmed      
tom vatil bien ,is tom ok,is tom ok     
jai fermé le robinet,i turned off the tap,i washed the ladder    
ils nont pas écouté,they didnt listen,they did not listen    
ça fonctionne,this works,it works      
je suis innocente,im innocent,im innocent      
je ne suis pas jolie,im not pretty,im not sure     
il souffre,hes in pain,he is at     
comment le prenezvous ,how are you taking it,how do you this    
je te remercie,i thank you,thank  you     
je lai déjà fait,ive already made it,i already did already    
cétait très grossier,that was very rude,it was very rude    
qui ,who,who is      
je prierai de toutes mes forces,ill pray hard,keep climbing tight     
je fredonne,im humming,i am      
puisje me rendre à la maison ,may i go home,may i go home    
cest davantage ainsi,thats more like it,thats how way     
improvisons,lets improvise,lets take      
pourraistu me prêter main forte ,could you help me,could you help me    
je veux que vous reveniez ici,i want you back here,i want you to here   
et si nous courions ,how about running,what  we     
tom démissionne,tom is resigning,tom is quitting     
tu dois maider,you need to help me,you must to help me   
c’est pas croyable ,unbelievable,thats not      
fais comme je te dis,do like i tell you,do as i tell    
vous avez tué ma mère,you killed my mother,you miss my mother    
il ma demandé de laide,he asked me for help,he called me help    
tom sindigne,tom is indignant,tom is      
je me suis trempé,i got soaking wet,i have soaking wet    
aérez le futon ,air the futon,please the futon     
je prendrai soin de toi,ill take care of you,ill take care of you   
je ne le vis quune fois,i only saw him once,i just saw him once   
ça pourrait être mieux,it could be better,that could be better    
cest à nous,this is ours,its ours      
je me suis assis au bar,i sat at the bar,i sat in the grass   
je dors à poil,i sleep in the nude,i sleep twice     
je suis avocat,im a lawyer,im an lawyer     
je nétais pas chez moi,i wasnt home,i wasnt home     
ne soyez pas dégoûtants,dont be disgusting,dont be modest     
il signa le chèque,he signed the check,he it the     
quelle taille faitil ,how tall is he,how deep is it    
que savezvous ,what do you know,what do you     
mordezvous la langue ,bite your tongue,take a tongue     
tom est un peu effrayant,tom is kind of creepy,tom is a little creepy   
où se trouve mon pantalon ,where are my pants,wheres is my trousers    
il sagit dune farce,this is a farce,this is sale     
cest parfait aujourdhui,it is fine today,thats is today     
tu mas menti,you lied to me,you lied to me    
je ne suis pas méchant,im not mean,im not mean     
tom avait beaucoup damies,tom had many friends,tom had a friends    
il est arrivé en retard comme toujours,he came late as usual,he died late so    
pardonne tom,forgive tom,im tom      
êtesvous intéressées ,are you interested,are you interested     
personne ne connaît son nom,no one knows his name,nobody knows his name    
ne le ramasse pas,dont pick it up,dont push it     
elles se tenaient les mains,they held hands,they wash hands     
les mauvaises habitudes ont la peau dure,bad habits die hard,the us be hard    
je tai dit de mappeler,i told you to call me,i told you to call me  
je narrive pas à faire ça,i cant do that,i cant do that    
ne vous arrêtez pas de danser,keep dancing,dont not dancing     
essayez douvrir la porte ,try to open the door,try to open the door   
prenez le relais,take over,the  it     
nous aimons nos parcs,we love our parks,we love our check    
vous êtes brillants,youre bright,youre are      
eh questce quil se passe ,hey whats going on,hey whats you going    
qui estu ,who are you,who are you     
jai vraiment besoin dun verre,i really need a drink,i only need a drink   
je pense que tom est âgé,i think tom is old,i think tom is old   
habillezvous,get dressed,put some clothes on    
il ma frappé à la tête,he hit me on the head,he banged at his head   
je ne peux pas garder ceci,i cant keep this,i cant keep this    
pourquoi astu fais cela ,why did you do that,why do you do that   
vous allez me manquer,im going to miss you,ill will miss you    
reste tranquille sil te plait,please keep quiet,please keep quiet     
reste alitée ,stay in bed,stay in bed     
je me sentais bien,i felt good,i felt good     
nestce pas vrai ,isnt that true,is that not true    
cest pourquoi je suis si gros,thats why im so fat,thats why im so    
veuxtu ten aller ,do you want to go,do you want to go   
quelle fille mignonne ,what a pretty girl,how very cute     
cest trop ténu,its too thin,this too      
elle est ici,its here,shes here      
la table chancelle,the table is wobbly,the table is wobbling    
le seul chemin est vers le haut,the only way is up,the game is     
je vais juste attendre,ill just wait,im just wait     
arrivezvous à voir ,can you see,can you see     
mes bagages sont manquants,my baggage is missing,my mother is     
il devient aveugle,hes going blind,he is  blind    
vous avez une allumette ,do you have a match,you have a match    
il a un nom commun,he has a common name,he has an name    
comment puisje faire cela ,how can i do that,how can i do that   
suivez mon conseil,follow my advice,follow my advice     
jen ai une,i have one,i have one     
tu as un invité,you have a guest,you have breakfast     
on ma volé mon sac,my bag was stolen,i stole my bag    
cela me rendit très triste,this made me very sad,that made me very sad   
tom est petit et gros,tom is short and fat,tom is tall fat    
tom a fait une grimace,tom winced,tom is      
je me sens un peu fatiguée,i feel a little tired,i feel kind little tired   
je vais la faire demain,i will do it tomorrow,ill do it tomorrow    
lequel est ton livre ,which book is yours,which one is book    
tom pense que mary a menti,tom thinks mary lied,tom  mary     
personne dautre na ri,no one else laughed,no one else laughed    
quel est le but ,whats the goal,whats the purpose     
je veux regarder ça,i want to watch this,i want to keep it   
vous avez merdé,you screwed up,you screwed up     
je fais frire du poisson,im frying fish,i am frying fish    
cétait parfait,it was perfect,that was possible spot    
il parle bien,he does speak well,he talks well     
les jaunes dœufs sont jaunes,yolks are yellow,yolks are      
ce nest pas équitable,its not fair,thats not fair     
tu viens tôt,youre here early,youre early      
soyez préparées ,be prepared,be brief      
comment puisje contacter tom ,how can i contact tom,how may i know tom   
tom décidera,tom will decide,tom is      
tom ne sest jamais amélioré,tom never got better,tom never better     
tu es un opportuniste,youre opportunistic,youre opportunistic      
ne vous approchez pas davantage,dont come any closer,dont come back word    
